[2024-09-25 20:26:50] Strategy: GeneTrader_gen1_1727267178_3778, Generation: 1, total_profit_usdt: 12.989, total_profit_percent: 0.2165, win_rate: 0.835, max_drawdown: 0.1417, avg_profit: 0.52, avg_trade_duration: 34, total_trades: 79.0, sharpe_ratio: 3.88, daily_avg_trades: 1.25, fitness: 902.7287113005983
[2024-09-25 20:26:51] Strategy: GeneTrader_gen1_1727267178_8073, Generation: 1, total_profit_usdt: 20.327, total_profit_percent: 0.33880000000000005, win_rate: 0.7440000000000001, max_drawdown: 0.1285, avg_profit: 0.8, avg_trade_duration: 53, total_trades: 78.0, sharpe_ratio: 4.89, daily_avg_trades: 1.24, fitness: 154.87322857756698
[2024-09-25 20:27:05] Strategy: GeneTrader_gen1_1727267178_6709, Generation: 1, total_profit_usdt: -37.388, total_profit_percent: -0.6231, win_rate: 0.7490000000000001, max_drawdown: 0.6639, avg_profit: -0.1, avg_trade_duration: 45, total_trades: 1760.0, sharpe_ratio: 0, daily_avg_trades: 27.94, fitness: 103.68189766439878
[2024-09-25 20:27:08] Strategy: GeneTrader_gen1_1727267178_5488, Generation: 1, total_profit_usdt: -48.496, total_profit_percent: -0.8083, win_rate: 0.723, max_drawdown: 0.8072, avg_profit: -0.14, avg_trade_duration: 41, total_trades: 2189.0, sharpe_ratio: 0, daily_avg_trades: 34.75, fitness: 55.065239674232295
[2024-09-25 20:27:28] Strategy: GeneTrader_gen1_1727267210_2890, Generation: 1, total_profit_usdt: 23.562, total_profit_percent: 0.39270000000000005, win_rate: 0.765, max_drawdown: 0.12689999999999999, avg_profit: 0.84, avg_trade_duration: 54, total_trades: 85.0, sharpe_ratio: 5.68, daily_avg_trades: 1.35, fitness: 241.60385502423705
[2024-09-25 20:27:28] Strategy: GeneTrader_gen1_1727267211_7990, Generation: 1, total_profit_usdt: 27.485, total_profit_percent: 0.4581, win_rate: 0.8, max_drawdown: 0.10859999999999999, avg_profit: 0.64, avg_trade_duration: 46, total_trades: 125.0, sharpe_ratio: 6.2, daily_avg_trades: 1.98, fitness: 501.1255208641202
[2024-09-25 20:27:42] Strategy: GeneTrader_gen1_1727267225_7893, Generation: 1, total_profit_usdt: 23.065, total_profit_percent: 0.38439999999999996, win_rate: 0.838, max_drawdown: 0.1024, avg_profit: 0.53, avg_trade_duration: 32, total_trades: 130.0, sharpe_ratio: 5.75, daily_avg_trades: 2.06, fitness: 1036.408707652903
[2024-09-25 20:27:46] Strategy: GeneTrader_gen1_1727267228_9893, Generation: 1, total_profit_usdt: 61.248, total_profit_percent: 1.0208, win_rate: 0.8009999999999999, max_drawdown: 0.1943, avg_profit: 0.54, avg_trade_duration: 53, total_trades: 282.0, sharpe_ratio: 13.68, daily_avg_trades: 4.48, fitness: 648.4532066525891
[2024-09-25 20:28:05] Strategy: GeneTrader_gen1_1727267248_8194, Generation: 1, total_profit_usdt: 22.049, total_profit_percent: 0.3675, win_rate: 0.727, max_drawdown: 0.1448, avg_profit: 0.68, avg_trade_duration: 62, total_trades: 99.0, sharpe_ratio: 5.15, daily_avg_trades: 1.57, fitness: 111.69733014915444
[2024-09-25 20:28:11] Strategy: GeneTrader_gen1_1727267248_7636, Generation: 1, total_profit_usdt: 73.581, total_profit_percent: 1.2264, win_rate: 0.75, max_drawdown: 0.3608, avg_profit: 0.23, avg_trade_duration: 58, total_trades: 789.0, sharpe_ratio: 16.85, daily_avg_trades: 12.52, fitness: 253.37147357076518
[2024-09-25 20:28:18] Strategy: GeneTrader_gen1_1727267266_7161, Generation: 1, total_profit_usdt: 22.875, total_profit_percent: 0.3812, win_rate: 0.835, max_drawdown: 0.1026, avg_profit: 0.54, avg_trade_duration: 36, total_trades: 127.0, sharpe_ratio: 5.58, daily_avg_trades: 2.02, fitness: 974.6287182651719
[2024-09-25 20:28:23] Strategy: GeneTrader_gen1_1727267262_6652, Generation: 1, total_profit_usdt: -45.548, total_profit_percent: -0.7591, win_rate: 0.69, max_drawdown: 0.782, avg_profit: -0.13, avg_trade_duration: 51, total_trades: 2023.0, sharpe_ratio: 0, daily_avg_trades: 32.11, fitness: 29.344742990799908
[2024-09-25 20:29:00] Strategy: GeneTrader_gen2_1727267303_5614, Generation: 2, total_profit_usdt: 19.447, total_profit_percent: 0.32409999999999994, win_rate: 0.795, max_drawdown: 0.1384, avg_profit: 0.52, avg_trade_duration: 51, total_trades: 117.0, sharpe_ratio: 4.68, daily_avg_trades: 1.86, fitness: 426.58827898946305
[2024-09-25 20:29:00] Strategy: GeneTrader_gen2_1727267303_1042, Generation: 2, total_profit_usdt: 23.065, total_profit_percent: 0.38439999999999996, win_rate: 0.838, max_drawdown: 0.1024, avg_profit: 0.53, avg_trade_duration: 32, total_trades: 130.0, sharpe_ratio: 5.75, daily_avg_trades: 2.06, fitness: 1036.408707652903
[2024-09-25 20:29:03] Strategy: GeneTrader_gen2_1727267303_7683, Generation: 2, total_profit_usdt: 61.227, total_profit_percent: 1.0205, win_rate: 0.772, max_drawdown: 0.22649999999999998, avg_profit: 0.53, avg_trade_duration: 58, total_trades: 290.0, sharpe_ratio: 13.98, daily_avg_trades: 4.6, fitness: 363.0245048408178
[2024-09-25 20:29:07] Strategy: GeneTrader_gen2_1727267303_8605, Generation: 2, total_profit_usdt: 11.905, total_profit_percent: 0.1984, win_rate: 0.755, max_drawdown: 0.3993, avg_profit: 0.08, avg_trade_duration: 59, total_trades: 734.0, sharpe_ratio: 4.68, daily_avg_trades: 11.65, fitness: 180.6964006395149
[2024-09-25 20:29:36] Strategy: GeneTrader_gen2_1727267340_9264, Generation: 2, total_profit_usdt: 23.949, total_profit_percent: 0.3992, win_rate: 0.836, max_drawdown: 0.1026, avg_profit: 0.55, avg_trade_duration: 36, total_trades: 128.0, sharpe_ratio: 5.79, daily_avg_trades: 2.03, fitness: 1002.5045423402263
[2024-09-25 20:29:36] Strategy: GeneTrader_gen2_1727267340_9725, Generation: 2, total_profit_usdt: 23.273, total_profit_percent: 0.38789999999999997, win_rate: 0.8370000000000001, max_drawdown: 0.109, avg_profit: 0.54, avg_trade_duration: 38, total_trades: 129.0, sharpe_ratio: 5.75, daily_avg_trades: 2.05, fitness: 1017.5090210918764
[2024-09-25 20:29:38] Strategy: GeneTrader_gen2_1727267343_9887, Generation: 2, total_profit_usdt: 10.97, total_profit_percent: 0.18280000000000002, win_rate: 0.833, max_drawdown: 0.1524, avg_profit: 0.46, avg_trade_duration: 34, total_trades: 78.0, sharpe_ratio: 3.35, daily_avg_trades: 1.24, fitness: 853.5234656068736
[2024-09-25 20:29:41] Strategy: GeneTrader_gen2_1727267347_6926, Generation: 2, total_profit_usdt: 22.875, total_profit_percent: 0.3812, win_rate: 0.835, max_drawdown: 0.1026, avg_profit: 0.54, avg_trade_duration: 36, total_trades: 127.0, sharpe_ratio: 5.58, daily_avg_trades: 2.02, fitness: 974.6287182651719
[2024-09-25 20:30:10] Strategy: GeneTrader_gen2_1727267376_2609, Generation: 2, total_profit_usdt: 8.942, total_profit_percent: 0.149, win_rate: 0.7659999999999999, max_drawdown: 0.1343, avg_profit: 0.49, avg_trade_duration: 51, total_trades: 64.0, sharpe_ratio: 2.39, daily_avg_trades: 1.02, fitness: 219.89407661170165
[2024-09-25 20:30:12] Strategy: GeneTrader_gen2_1727267378_4161, Generation: 2, total_profit_usdt: 23.684, total_profit_percent: 0.3947, win_rate: 0.84, max_drawdown: 0.1025, avg_profit: 0.54, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 5.93, daily_avg_trades: 2.08, fitness: 1083.7795743249949
[2024-09-25 20:30:13] Strategy: GeneTrader_gen2_1727267376_3144, Generation: 2, total_profit_usdt: 64.55, total_profit_percent: 1.0758, win_rate: 0.809, max_drawdown: 0.1943, avg_profit: 0.56, avg_trade_duration: 53, total_trades: 282.0, sharpe_ratio: 14.46, daily_avg_trades: 4.48, fitness: 777.7301193524481
[2024-09-25 20:30:15] Strategy: GeneTrader_gen2_1727267381_3929, Generation: 2, total_profit_usdt: 23.065, total_profit_percent: 0.38439999999999996, win_rate: 0.838, max_drawdown: 0.1024, avg_profit: 0.53, avg_trade_duration: 32, total_trades: 130.0, sharpe_ratio: 5.75, daily_avg_trades: 2.06, fitness: 1036.408707652903
[2024-09-25 20:30:49] Strategy: GeneTrader_gen3_1727267415_6714, Generation: 3, total_profit_usdt: 23.065, total_profit_percent: 0.38439999999999996, win_rate: 0.838, max_drawdown: 0.1024, avg_profit: 0.53, avg_trade_duration: 32, total_trades: 130.0, sharpe_ratio: 5.75, daily_avg_trades: 2.06, fitness: 1036.408707652903
[2024-09-25 20:30:49] Strategy: GeneTrader_gen3_1727267415_1156, Generation: 3, total_profit_usdt: 23.273, total_profit_percent: 0.38789999999999997, win_rate: 0.8370000000000001, max_drawdown: 0.109, avg_profit: 0.54, avg_trade_duration: 38, total_trades: 129.0, sharpe_ratio: 5.75, daily_avg_trades: 2.05, fitness: 1017.5090210918764
[2024-09-25 20:30:49] Strategy: GeneTrader_gen3_1727267415_7638, Generation: 3, total_profit_usdt: 23.684, total_profit_percent: 0.3947, win_rate: 0.84, max_drawdown: 0.1025, avg_profit: 0.54, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 5.93, daily_avg_trades: 2.08, fitness: 1083.7795743249949
[2024-09-25 20:30:51] Strategy: GeneTrader_gen3_1727267415_8372, Generation: 3, total_profit_usdt: 19.836, total_profit_percent: 0.3306, win_rate: 0.836, max_drawdown: 0.1025, avg_profit: 0.47, avg_trade_duration: 32, total_trades: 128.0, sharpe_ratio: 5.09, daily_avg_trades: 2.03, fitness: 971.4827171986801
[2024-09-25 20:31:25] Strategy: GeneTrader_gen3_1727267449_3734, Generation: 3, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:31:25] Strategy: GeneTrader_gen3_1727267449_1712, Generation: 3, total_profit_usdt: 24.652, total_profit_percent: 0.41090000000000004, win_rate: 0.838, max_drawdown: 0.1015, avg_profit: 0.56, avg_trade_duration: 32, total_trades: 130.0, sharpe_ratio: 6.43, daily_avg_trades: 2.06, fitness: 1048.9750025261883
[2024-09-25 20:31:26] Strategy: GeneTrader_gen3_1727267451_5274, Generation: 3, total_profit_usdt: 17.653, total_profit_percent: 0.2942, win_rate: 0.833, max_drawdown: 0.1168, avg_profit: 0.44, avg_trade_duration: 33, total_trades: 126.0, sharpe_ratio: 4.57, daily_avg_trades: 2.0, fitness: 899.5924502790151
[2024-09-25 20:31:27] Strategy: GeneTrader_gen3_1727267449_5927, Generation: 3, total_profit_usdt: 24.814, total_profit_percent: 0.41359999999999997, win_rate: 0.802, max_drawdown: 0.1384, avg_profit: 0.62, avg_trade_duration: 51, total_trades: 121.0, sharpe_ratio: 5.78, daily_avg_trades: 1.92, fitness: 511.21622607731246
[2024-09-25 20:32:00] Strategy: GeneTrader_gen3_1727267485_4438, Generation: 3, total_profit_usdt: 25.54, total_profit_percent: 0.4257, win_rate: 0.838, max_drawdown: 0.09699999999999999, avg_profit: 0.57, avg_trade_duration: 38, total_trades: 130.0, sharpe_ratio: 6.63, daily_avg_trades: 2.06, fitness: 1056.0261147514511
[2024-09-25 20:32:00] Strategy: GeneTrader_gen3_1727267485_6227, Generation: 3, total_profit_usdt: 24.652, total_profit_percent: 0.41090000000000004, win_rate: 0.838, max_drawdown: 0.1015, avg_profit: 0.56, avg_trade_duration: 32, total_trades: 130.0, sharpe_ratio: 6.43, daily_avg_trades: 2.06, fitness: 1048.9750025261883
[2024-09-25 20:32:01] Strategy: GeneTrader_gen3_1727267486_4750, Generation: 3, total_profit_usdt: 23.065, total_profit_percent: 0.38439999999999996, win_rate: 0.838, max_drawdown: 0.1024, avg_profit: 0.53, avg_trade_duration: 32, total_trades: 130.0, sharpe_ratio: 5.75, daily_avg_trades: 2.06, fitness: 1036.408707652903
[2024-09-25 20:32:01] Strategy: GeneTrader_gen3_1727267487_8825, Generation: 3, total_profit_usdt: 23.684, total_profit_percent: 0.3947, win_rate: 0.84, max_drawdown: 0.1025, avg_profit: 0.54, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 5.93, daily_avg_trades: 2.08, fitness: 1083.7795743249949
[2024-09-25 20:32:43] Strategy: GeneTrader_gen4_1727267521_3829, Generation: 4, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:32:43] Strategy: GeneTrader_gen4_1727267521_8303, Generation: 4, total_profit_usdt: 25.278, total_profit_percent: 0.4213, win_rate: 0.84, max_drawdown: 0.0894, avg_profit: 0.56, avg_trade_duration: 31, total_trades: 131.0, sharpe_ratio: 6.63, daily_avg_trades: 2.08, fitness: 1096.938962939798
[2024-09-25 20:32:44] Strategy: GeneTrader_gen4_1727267521_1047, Generation: 4, total_profit_usdt: 23.896, total_profit_percent: 0.3983, win_rate: 0.838, max_drawdown: 0.1027, avg_profit: 0.54, avg_trade_duration: 38, total_trades: 130.0, sharpe_ratio: 5.92, daily_avg_trades: 2.06, fitness: 1042.9906422666604
[2024-09-25 20:32:48] Strategy: GeneTrader_gen4_1727267521_1228, Generation: 4, total_profit_usdt: 22.673, total_profit_percent: 0.3779, win_rate: 0.809, max_drawdown: 0.2187, avg_profit: 0.13, avg_trade_duration: 40, total_trades: 592.0, sharpe_ratio: 6.96, daily_avg_trades: 9.4, fitness: 578.5642435887411
